"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"308","Gene100","H4K5ac",0.0455726044785324,"control1_seedlings",100,"Low Expression",126
"309","Downstream","H4K5ac",0.0482936507936508,"control1_seedlings",120,"Low Expression",126
"310","DownstreamIntergenic","H4K5ac",0.00714411954256151,"control1_seedlings",140,"Low Expression",126
"311","UpstreamIntergenic","H4K8ac",0.00734808583907512,"control1_seedlings",-60,"Low Expression",126
"312","Promotor1000","H4K8ac",0.151492063492063,"control1_seedlings",-40,"Low Expression",126
"313","Promotor500","H4K8ac",0.173904761904762,"control1_seedlings",-20,"Low Expression",126
"314","Gene20","H4K8ac",0.627736708406274,"control1_seedlings",20,"Low Expression",126
"315","Gene40","H4K8ac",0.394571349168566,"control1_seedlings",40,"Low Expression",126
"316","Gene60","H4K8ac",0.21352430971591,"control1_seedlings",60,"Low Expression",126
"317","Gene80","H4K8ac",0.110878790264932,"control1_seedlings",80,"Low Expression",126
"318","Gene100","H4K8ac",0.0450208979129517,"control1_seedlings",100,"Low Expression",126
"319","Downstream","H4K8ac",0.0322619047619048,"control1_seedlings",120,"Low Expression",126
"320","DownstreamIntergenic","H4K8ac",0.00798768423654654,"control1_seedlings",140,"Low Expression",126
"321","UpstreamIntergenic","H3-1",0.0168584003790399,"control1_seedlings",-60,"Low Expression",126
"322","Promotor1000","H3-1",0.121349206349206,"control1_seedlings",-40,"Low Expression",126
"323","Promotor500","H3-1",0.0696190476190476,"control1_seedlings",-20,"Low Expression",126
