"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"286","Gene60","H3K36me3",0.493280753867769,"control1_leaves",60,"Low Expression",109
"287","Gene80","H3K36me3",0.195874678516048,"control1_leaves",80,"Low Expression",109
"288","Gene100","H3K36me3",0.0481746969308147,"control1_leaves",100,"Low Expression",109
"289","Downstream","H3K36me3",0.0282110091743119,"control1_leaves",120,"Low Expression",109
"290","DownstreamIntergenic","H3K36me3",0.00247358030426199,"control1_leaves",140,"Low Expression",109
"291","UpstreamIntergenic","H3K27ac",0,"control1_leaves",-60,"Low Expression",109
"292","Promotor1000","H3K27ac",0,"control1_leaves",-40,"Low Expression",109
"293","Promotor500","H3K27ac",0,"control1_leaves",-20,"Low Expression",109
"294","Gene20","H3K27ac",0,"control1_leaves",20,"Low Expression",109
"295","Gene40","H3K27ac",0,"control1_leaves",40,"Low Expression",109
"296","Gene60","H3K27ac",0,"control1_leaves",60,"Low Expression",109
"297","Gene80","H3K27ac",0,"control1_leaves",80,"Low Expression",109
"298","Gene100","H3K27ac",0,"control1_leaves",100,"Low Expression",109
"299","Downstream","H3K27ac",0,"control1_leaves",120,"Low Expression",109
"300","DownstreamIntergenic","H3K27ac",0,"control1_leaves",140,"Low Expression",109
"301","UpstreamIntergenic","H4K5ac",0,"control1_leaves",-60,"Low Expression",109
"302","Promotor1000","H4K5ac",0,"control1_leaves",-40,"Low Expression",109
"303","Promotor500","H4K5ac",0,"control1_leaves",-20,"Low Expression",109
"304","Gene20","H4K5ac",0,"control1_leaves",20,"Low Expression",109
"305","Gene40","H4K5ac",0,"control1_leaves",40,"Low Expression",109
"306","Gene60","H4K5ac",0,"control1_leaves",60,"Low Expression",109
"307","Gene80","H4K5ac",0,"control1_leaves",80,"Low Expression",109
"308","Gene100","H4K5ac",0,"control1_leaves",100,"Low Expression",109
"309","Downstream","H4K5ac",0,"control1_leaves",120,"Low Expression",109
"310","DownstreamIntergenic","H4K5ac",0,"control1_leaves",140,"Low Expression",109
"311","UpstreamIntergenic","H4K8ac",0,"control1_leaves",-60,"Low Expression",109
"312","Promotor1000","H4K8ac",0,"control1_leaves",-40,"Low Expression",109
"313","Promotor500","H4K8ac",0,"control1_leaves",-20,"Low Expression",109
"314","Gene20","H4K8ac",0,"control1_leaves",20,"Low Expression",109
"315","Gene40","H4K8ac",0,"control1_leaves",40,"Low Expression",109
"316","Gene60","H4K8ac",0,"control1_leaves",60,"Low Expression",109
"317","Gene80","H4K8ac",0,"control1_leaves",80,"Low Expression",109
"318","Gene100","H4K8ac",0,"control1_leaves",100,"Low Expression",109
